0:0:0:0:0:0:0:1 - - [04/Jan/2022:19:20:41 +0530] "POST /ORSProj3/ctl/UserListCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Jan/2022:19:20:41 +0530] "GET /ORSProj3/ctl/UserCtl HTTP/1.1" 200 13976
0:0:0:0:0:0:0:1 - - [04/Jan/2022:19:20:41 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [04/Jan/2022:19:20:54 +0530] "GET /ORSProj3/ctl/UserListCtl HTTP/1.1" 200 14478
0:0:0:0:0:0:0:1 - - [04/Jan/2022:19:20:54 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [04/Jan/2022:19:21:00 +0530] "GET /ORSProj3/ctl/UserCtl?id=4 HTTP/1.1" 200 13846
0:0:0:0:0:0:0:1 - - [04/Jan/2022:19:21:00 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [04/Jan/2022:19:25:39 +0530] "POST /ORSProj3/ctl/UserCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Jan/2022:19:25:39 +0530] "GET /ORSProj3/ctl/UserListCtl HTTP/1.1" 200 14478
0:0:0:0:0:0:0:1 - - [04/Jan/2022:19:25:39 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [04/Jan/2022:19:25:42 +0530] "GET /ORSProj3/ctl/UserListCtl HTTP/1.1" 200 14478
0:0:0:0:0:0:0:1 - - [04/Jan/2022:19:25:42 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [04/Jan/2022:19:26:00 +0530] "GET /ORSProj3/ctl/UserCtl?id=4 HTTP/1.1" 200 13846
0:0:0:0:0:0:0:1 - - [04/Jan/2022:19:26:00 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [04/Jan/2022:19:26:12 +0530] "POST /ORSProj3/ctl/UserCtl HTTP/1.1" 200 13846
0:0:0:0:0:0:0:1 - - [04/Jan/2022:19:26:12 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
0:0:0:0:0:0:0:1 - - [04/Jan/2022:19:36:10 +0530] "POST /ORSProj3/ctl/UserCtl HTTP/1.1" 200 13846
0:0:0:0:0:0:0:1 - - [04/Jan/2022:19:36:10 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 1107
